_id	HASC	ISO	FIPS	Administration Code	Province	Infected	Active	Recovered	Deaths
1	VN.HI	HN	VM44	1	Ha Noi	945	407	518	20
2	VN.HG	3	VM50	2	Ha Giang	4	1	3	0
3	VN.CB	4	VM05	4	Cao Bang	0	0	0	0
4	VN.BK	53	VM72	6	Bac Kan	6	6	0	0
5	VN.TQ	7	VM68	8	Tuyen Quang	1	0	1	0
6	VN.LO	2	VM90	10	Lao Cai	9	7	2	0
7	VN.DB	71	VM92	11	Dien Bien	59	7	52	0
8	VN.LI	1	VM89	12	Lai Chau	1	0	1	0
9	VN.SL	5	VM32	14	Son La	1	1	0	0
10	VN.YB	6	VM70	15	Yen Bai	5	0	5	0
11	VN.HO	14	VM53	17	Hoa Binh	40	7	33	0
12	VN.TY	69	VM85	19	Thai Nguyen	9	1	8	0
13	VN.LS	9	VM39	20	Lang Son	117	96	20	1
14	VN.QN	13	VM30	22	Quang Ninh	104	17	87	0
15	VN.BG	54	VM71	24	Bac Giang	5951	2347	3592	12
16	VN.PT	68	VM83	25	Phu Tho	8	3	5	0
17	VN.VC	70	VM86	26	Vinh Phuc	133	83	50	0
18	VN.BN	56	VM74	27	Bac Ninh	1728	675	1042	11
19	VN.HD	61	VM79	30	Hai Duong	817	13	804	0
20	VN.HP	HP	VM13	31	Hai Phong	33	21	12	0
21	VN.HY	66	VM81	33	Hung Yen	273	205	68	0
22	VN.TB	20	VM35	34	Thai Binh	78	22	56	0
23	VN.HM	63	VM80	35	Ha Nam	65	15	50	0
24	VN.ND	67	VM82	36	Nam Dinh	31	13	18	0
25	VN.NB	18	VM59	37	Ninh Binh	54	17	37	0
26	VN.TH	21	VM34	38	Thanh Hoa	78	52	26	0
27	VN.NA	22	VM58	40	Nghe An	163	157	5	1
28	VN.HT	23	VM52	42	Ha Tinh	139	118	20	1
29	VN.QB	24	VM62	44	Quang Binh	1	1	0	0
30	VN.QT	25	VM64	45	Quang Tri	18	5	12	1
31	VN.TT	26	VM66	46	Thua Thien Hue	13	7	6	0
32	VN.DA	DN	VM78	48	Da Nang	958	307	617	34
33	VN.QM	27	VM84	49	Quang Nam	166	40	123	3
34	VN.QG	29	VM63	51	Quang Ngai	219	211	8	0
35	VN.BD	31	VM46	52	Binh Dinh	53	52	1	0
36	VN.PY	32	VM61	54	Phu Yen	732	704	28	0
37	VN.KH	34	VM54	56	Khanh Hoa	771	643	128	0
38	VN.NT	36	VM60	58	Ninh Thuan	50	38	12	0
39	VN.BU	40	VM47	60	Binh Thuan	126	115	11	0
40	VN.KT	28	VM55	62	Kon Tum	0	0	0	0
41	VN.GL	30	VM49	64	Gia Lai	41	14	27	0
42	VN.DC	33	VM88	66	Dak Lak	14	10	4	0
43	VN.DO	72	VM91	67	Dak Nong	13	13	0	0
44	VN.LD	35	VM23	68	Lam Dong	19	19	0	0
45	VN.BP	58	VM76	70	Binh Phuoc	93	93	0	0
46	VN.TN	37	VM33	72	Tay Ninh	257	205	51	1
47	VN.BI	57	VM75	74	Binh Duong	3077	3029	45	3
48	VN.DN	39	VM43	75	Dong Nai	1005	971	32	2
49	VN.BV	43	VM45	77	Ba Ria - Vung Tau	341	214	127	0
50	VN.HC	SG	VM20	79	Ho Chi Minh	34408	33593	692	123
51	VN.LA	41	VM24	80	Long An	744	723	11	10
52	VN.TG	46	VM37	82	Tien Giang	895	889	5	1
53	VN.BR	50	VM03	83	Ben Tre	217	199	18	0
54	VN.TV	51	VM67	84	Tra Vinh	87	79	8	0
55	VN.VL	49	VM69	86	Vinh Long	381	368	13	0
56	VN.DT	45	VM09	87	Dong Thap	1332	1284	27	21
57	VN.AG	44	VM01	89	An Giang	171	161	9	1
58	VN.KG	47	VM21	91	Kien Giang	163	136	27	0
59	VN.CN	CT	VM87	92	Can Tho	145	110	35	0
60	VN.HU	73	VM93	93	Hau Giang	47	47	0	0
61	VN.ST	52	VM65	94	Soc Trang	60	60	0	0
62	VN.BL	55	VM73	95	Bac Lieu	65	12	53	0
63	VN.CM	59	VM77	96	Ca Mau	26	18	8	0
64	""	""	""		""				
